review1,review2,overlap
105011099112,85217804833,2
105011099112,85208659196,2
105011099112,105018504581,1
105011099112,105010595893,1
105011099112,85217947099,1
105011099112,105016785014,1
105011099112,85174329898,1
105011099112,85196152454,1
105011723808,105017430236,1
105011723808,105012290896,1
105011723808,105007883865,1
105011723808,105014381487,1
105011723808,105008966978,1
105011723808,105002928524,1
105011723808,105003840927,1
105011723808,105006749937,1
105011723808,105004072675,1
105011723808,85210367176,1
105011723808,105001688848,1
105011723808,85213466379,1
105011723808,85199547215,1
105011723808,85199222799,1
105011723808,85194157623,1
105011723808,85194242951,1
105011723808,85210075981,1
105011723808,85165536487,1
105011723808,85166259560,1
105011723808,85163952202,1
105011723808,85158061141,1
105011723808,85149032382,1
105011723808,85102285303,1
105020198219,86000154681,1
105011403168,105019216429,1
105002487731,85208762357,1
85210664705,85217804833,5
85210664705,105005791173,1
85210664705,85208659196,6
85210664705,105018504581,3
85210664705,85211045949,1
85210664705,105001943388,1
85210664705,85179304084,2
85210664705,85130888673,1
85210664705,105007082021,1
85210664705,105014191532,1
85210664705,105013241116,1
85210664705,85149487801,1
85210664705,85202349332,2
85210664705,85143500675,4
85210664705,85165540178,1
85210664705,85192087823,2
85210664705,85217236948,1
85210664705,85144018709,1
85210664705,85142179935,1
85210664705,105016785014,2
85210664705,105017369162,1
85210664705,85214330914,1
85210664705,85195142924,1
85210664705,85200719602,1
85210664705,85184076931,1
85210664705,85179587231,1
85210664705,85174400953,1
85210664705,85169894244,1
85210664705,105007421908,1
85210664705,85146633956,1
85210664705,105012197047,1
85217804833,105005791173,1
85217804833,85208659196,9
85217804833,105018504581,2
85217804833,85211045949,2
85217804833,86000160960,1
85217804833,105010595893,1
85217804833,85217947099,1
85217804833,105001943388,1
85217804833,85179304084,2
85217804833,105007082021,1
85217804833,105014191532,1
85217804833,105013241116,1
85217804833,85149487801,1
85217804833,85174833281,1
85217804833,85143500675,2
85217804833,85165540178,1
85217804833,85142179935,1
85217804833,105007421908,1
85217804833,85146633956,1
85217804833,85174552639,1
105005791173,85208659196,1
105005791173,105010226603,1
105005791173,85142179935,1
105005791173,105017369925,1
105005791173,85186250652,1
85208659196,105018504581,5
85208659196,85211045949,3
85208659196,86000160960,1
85208659196,105018916052,1
85208659196,105010226603,2
85208659196,105010595893,1
85208659196,85217947099,1
85208659196,105001943388,3
85208659196,85195543556,1
85208659196,85179304084,3
85208659196,105010838049,1
85208659196,85130888673,1
85208659196,105007082021,1
85208659196,105014191532,1
85208659196,105013241116,1
85208659196,85149487801,1
85208659196,105008790890,1
85208659196,105015142865,1
85208659196,105003166061,1
85208659196,85213427715,1
85208659196,105018863785,1
85208659196,85202349332,4
85208659196,85159271085,1
85208659196,85160856591,1
85208659196,85143500675,7
