"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Alves, F.; Varela, L.R.; Rocha, A.M.A.C.; Pereira, A.I.; Leitão, P.","Alves, Filipe (57195267974); Varela, M. Leonilde R. (59491264800); Rocha, Ana Maria A.C. (8839014600); Pereira, Ana I. (15071961600); Leitão, Paulo (35584388900)","57195267974; 59491264800; 8839014600; 15071961600; 35584388900","A human centred hybrid MAS and meta-heuristics based system for simultaneously supporting scheduling and plant layout adjustment","2019","FME Transactions","47","4","","699","710","0","13","10.5937/fmet1904699A","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070204534&doi=10.5937%2Ffmet1904699A&partnerID=40&md5=354c30c5f0e1d2d6331ae3d89339256c","Article","Final","All Open Access; Gold Open Access; Green Final Open Access; Green Open Access","Scopus","2-s2.0-85070204534"
"Gimenez-Escalante, P.; Rahimifard, S.","Gimenez-Escalante, Pedro (57194037977); Rahimifard, Shahin (6602344042)","57194037977; 6602344042","Metrics for identifying the most suitable strategy for distributed localised food manufacturing","2019","Procedia Manufacturing","33","","","586","593","0","4","10.1016/j.promfg.2019.04.073","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068562414&doi=10.1016%2Fj.promfg.2019.04.073&partnerID=40&md5=dda45bd746d4a3b1a53a1dcf9034e26b","Conference paper","Final","All Open Access; Gold Open Access; Green Final Open Access; Green Open Access","Scopus","2-s2.0-85068562414"
"Kuhnle, A.; Schafer, L.; Stricker, N.; Lanza, G.","Kuhnle, Andreas (57195313256); Schafer, Louis (57209686709); Stricker, Nicole (55853493400); Lanza, Gisela (23100137400)","57195313256; 57209686709; 55853493400; 23100137400","Design, implementation and evaluation of reinforcement learning for an adaptive order dispatching in job shop manufacturing systems","2019","Procedia CIRP","81","","","234","239","0","77","10.1016/j.procir.2019.03.041","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068485505&doi=10.1016%2Fj.procir.2019.03.041&partnerID=40&md5=5cde7717a57e6c232b0f8653ede82ee6","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85068485505"
"Zhang, F.; Mei, Y.; Zhang, M.","Zhang, Fangfang (57205201965); Mei, Yi (37066417800); Zhang, Mengjie (8729040400)","57205201965; 37066417800; 8729040400","A new representation in genetic programming for evolving dispatching rules for dynamic flexible job shop scheduling","2019","Lecture Notes in Computer Science","11452 LNCS","","","33","49","0","25","10.1007/978-3-030-16711-0_3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064934732&doi=10.1007%2F978-3-030-16711-0_3&partnerID=40&md5=e6c17617c64c46bc03e678e9e0f6a45b","Conference paper","Final","","Scopus","2-s2.0-85064934732"
"Gödri, I.; Kardos, C.; Pfeiffer, A.; Vancza, J.","Gödri, István (57204681349); Kardos, Csaba (55356496200); Pfeiffer, András (13103667200); Vancza, Jozsef (6603986467)","57204681349; 55356496200; 13103667200; 6603986467","Data analytics-based decision support workflow for high-mix low-volume production systems","2019","CIRP Annals","68","1","","471","474","0","89","10.1016/j.cirp.2019.04.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064550516&doi=10.1016%2Fj.cirp.2019.04.001&partnerID=40&md5=9ed8e20134e6ffab03274e1436ba67e7","Article","Final","","Scopus","2-s2.0-85064550516"
"Türker, A.K.; Aktepe*, A.; Inal, A.F.; Ersöz, O.O.; Daş, G.S.; Birgören, B.","Türker, Ahmet Kürşad (7004241727); Aktepe*, Adnan (41260915900); Inal, Ali Firat (57208129251); Ersöz, Olcay Özge (57208133370); Daş, Gülesin Sena (23004105900); Birgören, Burak (6507171317)","7004241727; 41260915900; 57208129251; 57208133370; 23004105900; 6507171317","A decision support system for dynamic job-shop scheduling using real-time data with simulation","2019","Mathematics","7","3","278","","","0","40","10.3390/math7030278","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063881542&doi=10.3390%2Fmath7030278&partnerID=40&md5=028ba54a05e20e1dc24b803a26814f7b","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85063881542"
"Olender, M.; Kalinowski, K.; Grabowik, C.","Olender, Małgorzata (57191518970); Kalinowski, Krzysztof (8370832400); Grabowik, Cezary (6506472412)","57191518970; 8370832400; 6506472412","Practical approach of flexible job shop scheduling using costs and finishing times of operations","2019","Advances in Intelligent Systems and Computing","835","","","391","400","0","5","10.1007/978-3-319-97490-3_38","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051798808&doi=10.1007%2F978-3-319-97490-3_38&partnerID=40&md5=79be4697ff9adddf398dbd463a90e40b","Conference paper","Final","","Scopus","2-s2.0-85051798808"
"Du, W.; Zhong, W.; Tang, Y.; Du, W.; Jin, Y.","Du, Wei (55313397000); Zhong, Weimin Min (10041670400); Tang, Yang (57200288115); Du, Wenli (7202953420); Jin, Yaochu (57201346599)","55313397000; 10041670400; 57200288115; 7202953420; 57201346599","High-Dimensional Robust Multi-Objective Optimization for Order Scheduling: A Decision Variable Classification Approach","2019","IEEE Transactions on Industrial Informatics","15","1","8359103","293","304","0","121","10.1109/TII.2018.2836189","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047019015&doi=10.1109%2FTII.2018.2836189&partnerID=40&md5=0e61ddb2e9378b22a61ccb64359313d3","Article","Final","","Scopus","2-s2.0-85047019015"
"Wang, F.","Wang, Fang (57207266742)","57207266742","Risk pricing and consumers' equilibrium strategies in A quality-based make-to-order/service system","2018","","","","8597647","","","0","0","10.1109/IEIS.2018.8597647","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061840403&doi=10.1109%2FIEIS.2018.8597647&partnerID=40&md5=84770d05b731fcb5984f87f09ddd6fc9","Conference paper","Final","","Scopus","2-s2.0-85061840403"
"Pereira, M.S.; Lima, F.","Pereira, Moises Santana (57214782609); Lima, Fábio (10339651400)","57214782609; 10339651400","A machine learning approach applied to energy prediction in job shop environments","2018","","","","8592763","2665","2670","0","4","10.1109/IECON.2018.8592763","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061559506&doi=10.1109%2FIECON.2018.8592763&partnerID=40&md5=ea3e3870dcec016ab9ac603ddf795dac","Conference paper","Final","","Scopus","2-s2.0-85061559506"
